level_0	hhid07	pid07	panel	tk01	tk02	tk03	tk04	tk01a	tk01b	tk01c	tk01d	tk25a9x	age	marstat	sex	link	hhsize	nonfood	food	total	kabid	nmkab2014	pce	sc05	sc21x	ar02b_07	hhid00	pid00	dl06	dl05a	dl07a	dl30	dl42	index	dl2type	dl16j	dl10	dl16c2	dl16e	dl11d	dl11e	dl11f	sw01	sw03b	kk01	kk02a	kk02c	nonfood00	food00	total00	pce00	change
1394	0411100	4	1	1				1	3	3	3		23	1	1	041110004	4	289875.8	770070.36	1059946.2	1602	OGAN KOMERING ILIR	1017029	2	11	3	0411100	4	15	7	3	3		2952	3	5	5	6	37.57			2006	2	2	2	1	4	50248.097	270228.62	320476.72	320255.18	739469.44
1396	0411100	6	3	1				1	3	3	3		16	1	1	041110006	4	289875.8	770070.36	1059946.2	1602	OGAN KOMERING ILIR	1017029	2	11	3	0411100	6	73	6	3	3		2954	2	15	73	3	19.53			2006	3	2	2	0	4	50248.097	270228.62	320476.72	320255.18	739469.44
1398	0412400	4	3	1				1	3	3	3		21	1	1	041240004	4	71978.847	219036.12	291014.96	1602	OGAN KOMERING ILIR	291014.95	2	13	3	0412400	4	5	4	3	1	3	2986	3	120	5	3				2007	1	2	1	0	1	279269.9	80978.735	360248.62	360248.67	-69233.661
1399	0412400	4	3	1				1	3	3	3		21	1	1	041240004	4	71978.847	219036.12	291014.96	1602	OGAN KOMERING ILIR	291014.95	2	13	3	0412400	4	5	4	3	1	3	2986	3	120	5	3				2007	1	2	1	0	1	281645.4	81667.549	363312.94	363312.98	-72297.977
1401	0412400	5	3	1				1	3	3	3		16	1	1	041240005	4	71978.847	219036.12	291014.96	1602	OGAN KOMERING ILIR	291014.95	2	13	3	0412400	5	72	6	3	3		2987	1	15	72			3	B	2002	3	1	3	0	2	279269.9	80978.735	360248.62	360248.67	-69233.661
1402	0412400	5	3	1				1	3	3	3		16	1	1	041240005	4	71978.847	219036.12	291014.96	1602	OGAN KOMERING ILIR	291014.95	2	13	3	0412400	5	72	6	3	3		2987	1	15	72			3	B	2002	3	1	3	0	2	281645.4	81667.549	363312.94	363312.98	-72297.977
1404	0412700	3	3	4	1			3	3	1	3		18	1	3	041270003	4	86615.696	188729.23	275344.92	1602	OGAN KOMERING ILIR	271318.13	2	11	3	0412700	3	73	7	3	3		2991	2	30	73	3	18.5			2005	3	2	2	0	3	94807.73	156942.22	251749.94	248870.28	23594.982
1406	0412700	4	3	4	3	3	3	3	3	1	3		17	1	3	041270004	4	86615.696	188729.23	275344.92	1602	OGAN KOMERING ILIR	271318.13	2	11	3	0412700	4	3	7	3	3		2993	2	10	3	3	19.67			2006	3	2	2	0	2	94807.73	156942.22	251749.94	248870.28	23594.982
1408	0430141	5	3	4	3	3	3	3	3	1	3		20	2	3	043010003	6	25545.383	219036.11	244581.5	1602	OGAN KOMERING ILIR	244581.5	2	96	5	0430100	3	2	7	3	3		3122	1	20	2			3	C	1998	2	2	3	0	4	57704.232	310659.27	368363.49	368363.49	-123781.99
1410	0430200	6	3	4	1			1	3	1	3		16	1	1	043020006	5	21683.198	69287.047	90970.245	1602	OGAN KOMERING ILIR	87197.772	2	96	3	0430200	6	2	6	3	3		3123	1	15	2			3	B	2005	3	3	1	0	2	77869.334	187178.8	265048.14	245850.3	-174077.89
