index,Scparinkind,Scsizeinkind,Scparfundraise_a,Tjumlah,Scrapbs,Screcrapbs,Scdistrapbs,Spparentsrapbs,Scbpd,Scsatbpd,Spbpd,Spsatbpd,Scsatlearn,Tsatlearn,Spsatlearn,Spsceffective_a,Spsceffective_b,Spsceffective_c,Spsceffective_d,Scposcontr,Tscperception_a,Tscperception_b,Tscperception_c,Tscperception_d,Scparfundraise_b,Scmeettripartite,Spinviterapbs,Pcont,Pcont_physical,Pnsteach,Gttteach_govt1,Gttteach_govt2,Gttteach_school,Gttteach_govt,Pscanswer,Pknow_scexist,Pmtgrapbs,Psatlearnknow,Pknow_scmem,Prap_a,Prap_b,Prap_c,Prap_d,Prapbs,Scparfundraise,Spinviterapbs_score,Tscperception
418,0,,,8,1,0,1,1,1,3,0,3,3,3,2,1,1,1,1,1,8,8,8,8,5,2,1,0,0,5,,3,,,0.111111111,1,1,3,2.333333333,1,1,1,1,4,505000,0,8
419,0,,,10,0,0,1,1,0,2,1,3,2,2,2,1,1,1,1,0,7,7,9,9,,1,1,0,0,4,,6,,,0.037037037,0.666666667,0.666666667,2.666666667,2,0.666666667,0.333333333,0.333333333,0.333333333,1.666666667,0,0,8
420,0,,,10,0,0,1,1,0,3,0,2,2,3,3,1,1,1,1,1,8,8,7,7,,2,1,0,0,6,,4,,,0.074074074,0.666666667,0.333333333,2.5,3,0.25,0,0.25,0.25,0.75,0,0,7.5
421,0,,,12,1,1,1,1,0,2,0,2,2,3,2,1,1,1,1,1,8,7,7,6,,2,1,0,0,7,,5,,,0.037037037,0.333333333,0.333333333,2.333333333,3,0.625,0.625,0.625,0.625,2.5,19999999996,0,7
422,0,,,10,0,1,1,1,1,3,0,3,2,3,2,1,1,1,1,1,8,8,8,7,,2,1,0,0,5,1,,4,,0,0.333333333,0.666666667,2.5,1,0.285714286,0.285714286,0.285714286,0.285714286,1.142857143,0,0,7.75
423,0,,,10,1,1,1,1,1,2,0,2,2,3,2,1,2,2,2,1,8,8,8,7,,2,1,0,0,6,,4,,,0.074074074,0.666666667,1,2.5,2,0.666666667,0.333333333,0.333333333,0.333333333,1.666666667,0,0,7.75
424,0,,,11,0,0,1,1,1,3,1,3,2,2,2,1,1,1,1,1,8,8,8,8,,2,0,0,0,7,,1,3,,0.111111111,0.666666667,0.333333333,2.666666667,2,0.666666667,1,0.666666667,0.666666667,3,9999999998,0,8
425,0,,2,11,0,0,1,1,1,3,0,8,2,2,2,1,1,1,1,1,8,8,8,8,6,2,1,0,0,6,,,5,,0.074074074,0.333333333,0.666666667,2.666666667,4,0.285714286,0.285714286,0.285714286,0.285714286,1.142857143,7136000,0,8
426,1,3,,9,1,0,1,1,1,4,0,,2,2,2,1,1,1,1,1,9,8,9,8,1,1,1,0,0,7,,,2,,0.074074074,1,0.666666667,2.666666667,2.666666667,0.666666667,0.666666667,0.666666667,0.666666667,2.666666667,128000,0,8.5
427,0,,,10,0,0,1,1,0,1,1,2,2,3,2,1,3,1,1,1,7,7,6,6,,1,1,0,0,6,,,4,,0.148148148,1,0.666666667,2.333333333,1.666666667,1,0.666666667,0.333333333,0.333333333,2.333333333,0,0,6.5
428,0,,,11,0,0,1,1,0,2,0,2,3,3,2,1,1,1,1,0,9,8,10,97,,2,1,0,0,9,,,2,,0.074074074,1,1,2.666666667,2,1,1,1,1,4,0,0,31
429,1,3,,12,0,1,1,1,0,3,0,,3,2,3,1,1,1,1,1,9,9,9,9,,3,1,0,0,5,,,7,,0.037037037,1,0,3,1,1,0,0,0,1,0,0,9
